week_ending,Date,MaxBill_Hours,Billable_HC,Delivered_Hours,Billed_Hours,Headcount,Is_Holiday
2024-02-02,2024-01-29,7200,1021,3720.67,3720.67,982,False
2024-02-02,2024-01-30,8071,1100,3974.19,3974.19,1111,False
2024-02-02,2024-01-31,7098,1121,6523.01,6523.01,1156,False
2024-02-02,2024-02-01,7960,1050,6250.94,6250.94,1046,False
2024-02-02,2024-02-02,8028,1091,5151.03,5151.03,1067,False
2024-02-09,2024-02-03,8038,1039,4652.71,4652.71,1030,False
2024-02-09,2024-02-04,7863,1001,6077.81,6077.81,1046,False
2024-02-09,2024-02-05,7484,1100,6143.44,6143.44,1064,False
2024-02-09,2024-02-06,8059,962,5628.53,5628.53,943,False
2024-02-09,2024-02-07,8266,1035,7825.49,7825.49,1012,False
2024-02-09,2024-02-08,7556,1011,2586.13,2586.13,1017,False
2024-02-09,2024-02-09,7795,977,4413.68,4413.68,970,False
2024-02-16,2024-02-10,8354,1077,4263.92,4263.92,1118,True
2024-02-16,2024-02-11,7189,1078,4216.26,4216.26,1054,False
2024-02-16,2024-02-12,7627,952,4873.98,4873.98,971,True
2024-02-16,2024-02-13,7648,1011,5910.88,5910.88,997,False
2024-02-16,2024-02-14,8257,1121,7899.79,7899.79,1094,True
2024-02-16,2024-02-15,8397,1109,5570.18,5570.18,1154,True
2024-02-16,2024-02-16,8136,1011,7905.58,7905.58,1018,False
2024-02-23,2024-02-17,8409,1080,2236.41,2236.41,1085,False
2024-02-23,2024-02-18,7112,951,4101.22,4101.22,902,False
2024-02-23,2024-02-19,7854,1078,5984.85,5984.85,1046,False
2024-02-23,2024-02-20,8076,1121,7988.81,7988.81,1160,False
2024-02-23,2024-02-21,8439,1017,6904.07,6904.07,1021,False
2024-02-23,2024-02-22,7122,1094,3883.79,3883.79,1081,False
2024-02-23,2024-02-23,7883,1047,4346.28,4346.28,1066,False
2024-03-01,2024-02-24,7751,1093,2866.78,2866.78,1139,False
2024-03-01,2024-02-25,7186,1019,2211.46,2211.46,1048,False
2024-03-01,2024-02-26,7659,1136,2093.87,2093.87,1121,False
2024-03-01,2024-02-27,7146,1097,2494.92,2494.92,1142,False
2024-03-01,2024-02-28,7488,1110,4122.4,4122.4,1099,False
2024-03-01,2024-02-29,7337,1053,5606.16,5606.16,1003,False
2024-03-01,2024-03-01,7472,1127,4962.8,4962.8,1099,False
2024-03-08,2024-03-02,8321,1048,6171.76,6171.76,1004,False
2024-03-08,2024-03-03,7345,1061,3394.13,3394.13,1070,False
2024-03-08,2024-03-04,7896,997,5291.7,5291.7,958,False
2024-03-08,2024-03-05,8183,958,6330.31,6330.31,1006,False
2024-03-08,2024-03-06,7207,1080,6619.06,6619.06,1049,False
2024-03-08,2024-03-07,8143,1110,7227.25,7227.25,1083,True
2024-03-08,2024-03-08,8443,1115,5741.36,5741.36,1148,False
2024-03-15,2024-03-09,8135,1048,2031.05,2031.05,1022,False
2024-03-15,2024-03-10,7877,1031,6066.27,6066.27,1046,False
2024-03-15,2024-03-11,7956,1118,6241.74,6241.74,1167,False
2024-03-15,2024-03-12,7800,1091,3037.17,3037.17,1061,True
2024-03-15,2024-03-13,8415,1084,6218.59,6218.59,1100,False
2024-03-15,2024-03-14,8056,1125,5081.38,5081.38,1150,False
2024-03-15,2024-03-15,7469,1068,3334.38,3334.38,1039,False
2024-03-22,2024-03-16,7037,1058,6493.24,6493.24,1058,False
2024-03-22,2024-03-17,8306,976,4207.59,4207.59,1023,False
2024-03-22,2024-03-18,7283,1060,6565.4,6565.4,1073,False
2024-03-22,2024-03-19,8019,1010,3689.97,3689.97,1007,False
2024-03-22,2024-03-20,7546,1141,2241.83,2241.83,1139,False
2024-03-22,2024-03-21,8195,1107,3731.88,3731.88,1149,False
2024-03-22,2024-03-22,7517,1048,7121.53,7121.53,1034,False
2024-03-29,2024-03-23,7496,995,5145.32,5145.32,997,False
2024-03-29,2024-03-24,7699,1065,3742.17,3742.17,1077,False
2024-03-29,2024-03-25,7927,1110,3004.58,3004.58,1126,True
2024-03-29,2024-03-26,7565,1007,5172.39,5172.39,1023,False
2024-03-29,2024-03-27,7625,981,7569.05,7569.05,977,False
2024-03-29,2024-03-28,7961,1076,3760.23,3760.23,1052,False
2024-03-29,2024-03-29,7784,1053,2790.22,2790.22,1035,False
2024-04-05,2024-03-30,7245,1125,3539.89,3539.89,1113,False
